link_pj_per_bit,cxl_pj_per_bit,is_cited,layer,strategy,hit_rate_pct,energy_per_token_mj,saving_vs_worst_pct,energy_rank
0.0,9.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,27.874770667436295,0.8059822982064636,3
0.0,9.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,28.101261863629794,0.0,4
0.0,9.08016357421875,False,Layer 15,LRU,59.51793832773276,26.19710709155532,6.776047215655237,1
0.0,9.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,26.630067589580538,5.235331712820191,2
0.0,9.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,27.583701081397187,0.44667488338142464,3
0.0,9.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,27.707463361053122,0.0,4
0.0,9.08016357421875,False,Layer 31,LRU,56.256485965605854,27.56645424234203,0.5089210689322854,2
0.0,9.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,26.63800372905554,3.859825123872086,1
2.0,11.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,32.88933195911544,0.8660008865925236,3
2.0,11.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,33.176641972741,0.0,4
2.0,11.08016357421875,False,Layer 15,LRU,59.51793832773276,30.761171779177698,7.280634958619178,1
2.0,11.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,31.31039350910613,5.625187941468704,2
2.0,11.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,32.5201025668196,0.48044563666491436,3
2.0,11.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,32.67709825959654,0.0,4
2.0,11.08016357421875,False,Layer 31,LRU,56.256485965605854,32.49822449982533,0.5473979309612749,2
2.0,11.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,31.320460709858388,4.151646327224721,1
4.0,13.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,37.90389325079458,0.9100926228492993,3
4.0,13.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,38.2520220818522,0.0,4
4.0,13.08016357421875,False,Layer 15,LRU,59.51793832773276,35.32523646680007,7.651322611885345,1
4.0,13.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,35.99071942863173,5.9115898458432055,2
4.0,13.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,37.45650405224201,0.5053004336362302,3
4.0,13.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,37.646733158139966,0.0,4
4.0,13.08016357421875,False,Layer 31,LRU,56.256485965605854,37.42999475730862,0.5757163574350757,2
4.0,13.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,36.002917690661235,4.366422607171974,1
6.0,15.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,42.918454542473725,0.9438545304130387,3
6.0,15.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,43.32740219096341,0.0,4
6.0,15.08016357421875,False,Layer 15,LRU,59.51793832773276,39.88930115442245,7.935165421152418,1
6.0,15.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,40.67104534815733,6.130893403436283,2
6.0,15.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,42.39290553766443,0.5243584312997811,3
6.0,15.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,42.6163680566834,0.0,4
6.0,15.08016357421875,False,Layer 31,LRU,56.256485965605854,42.361765014791914,0.597430174136007,2
6.0,15.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,40.685374671464075,4.531107349765091,1
8.0,17.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,47.93301583415287,0.97053607994974,3
8.0,17.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,48.40278230007462,0.0,4
8.0,17.08016357421875,False,Layer 15,LRU,59.51793832773276,44.45336584204483,8.159482307329467,1
