dataset,experts,top_k,hbm_capacity,tokens,accesses,markov_order,gating,min_support,min_confidence,lru_hit_rate_pct,prefetch_hit_rate_pct,hit_rate_gain_pts,prefetch_accuracy_pct,prefetches_issued,prefetches_wasted,cxl_traffic_multiplier,energy_multiplier,lru_energy_mj_per_access,prefetch_energy_mj_per_access,cxl_energy_basis
Mixtral L15 (real),8,2,4,829440,1658880,1,aggressive,1,0.0,59.508342978395056,62.62116608796296,3.1128231095679055,33.499409650591,154146,102508,1.1526079784668337,1.1420926481942975,26.111235399185688,29.821449984680665,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,1,permissive,2,0.1,59.508342978395056,62.62116608796296,3.1128231095679055,33.50006163108283,154143,102505,1.1526035122404379,1.1420886502065193,26.111235399185688,29.821345592280668,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,1,moderate,8,0.2,59.508342978395056,62.62098524305556,3.1126422646605008,33.50072341060527,154131,102496,1.1525901135612497,1.1420763376364722,26.111235399185688,29.8210240958658,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,1,conservative,8,0.3,59.508342978395056,62.6198398919753,3.111496913580247,33.50513456320511,154054,102438,1.152503766517594,1.1419970253635816,26.111235399185688,29.818953154438308,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,1,strict,20,0.4,59.508342978395056,60.75918692129629,1.2508439429012341,36.84631092959247,56315,35565,1.052947113924503,1.0495998415380032,26.111235399185688,27.406348537346798,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,2,aggressive,1,0.0,59.508342978395056,62.2825038580247,2.7741608796296404,38.36246780203566,119961,73941,1.1100790819820516,1.103425831737509,26.111235399185688,28.811811638040354,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,2,permissive,2,0.1,59.508342978395056,62.28214216820987,2.7737991898148167,38.363542378816426,119942,73928,1.1100597283343359,1.1034078699103786,26.111235399185688,28.811342632543955,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,2,moderate,8,0.2,59.508342978395056,62.28063512731481,2.772292148919753,38.383661341746375,119814,73825,1.10990638789474,1.1032679506073901,26.111235399185688,28.807689166686732,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,2,conservative,8,0.3,59.508342978395056,62.28051456404321,2.7721715856481524,38.38775919062406,119796,73809,1.109882568020628,1.1032464156014314,26.111235399185688,28.807126861076824,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L15 (real),8,2,4,829440,1658880,2,strict,20,0.4,59.508342978395056,61.139865451388886,1.6315224729938294,41.63141622187014,65011,37946,1.0564918089407898,1.053443578300868,26.111235399185688,27.506713252774464,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,1,aggressive,1,0.0,56.26042872299383,61.15547839506172,4.895049672067891,41.75304909401287,194484,113281,1.1561232491761841,1.1496972300132764,27.83667777978531,32.00375133619129,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,1,permissive,2,0.1,56.26042872299383,61.15541811342593,4.894989390432102,41.7531789737815,194481,113279,1.156120492787219,1.1496946302775777,27.83667777978531,32.003678968186335,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,1,moderate,8,0.2,56.26042872299383,61.154755015432094,4.894326292438265,41.751387153340225,194463,113272,1.1561108454258415,1.149684784057541,27.83667777978531,32.003404882131825,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,1,conservative,8,0.3,56.26042872299383,61.154755015432094,4.894326292438265,41.751387153340225,194463,113272,1.1561108454258415,1.149684784057541,27.83667777978531,32.003404882131825,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,1,strict,20,0.4,56.26042872299383,60.98512249228395,4.72469376929012,41.974111938819775,186727,108350,1.1493273721827981,1.143251668874223,27.83667777978531,31.824328327653554,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,2,aggressive,1,0.0,56.26042872299383,60.87920765817901,4.618778935185183,42.25538532808312,181326,104706,1.1443052314884363,1.1385214256887664,27.83667777978531,31.692654072279975,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,2,permissive,2,0.1,56.26042872299383,60.87848427854938,4.61805555555555,42.25412706905015,181303,104695,1.1442900713491284,1.1385064796166777,27.83667777978531,31.692238023287175,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,2,moderate,8,0.2,56.26042872299383,60.87468653549383,4.6142578125,42.25597032228147,181146,104601,1.1441605210677699,1.1383826981293135,27.83667777978531,31.68879235790831,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,2,conservative,8,0.3,56.26042872299383,60.87468653549383,4.6142578125,42.25597032228147,181146,104601,1.1441605210677699,1.1383826981293135,27.83667777978531,31.68879235790831,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Mixtral L31 (real),8,2,4,829440,1658880,2,strict,20,0.4,56.26042872299383,60.42793933256173,4.167510609567898,43.42015186438975,159221,90087,1.1241574063482394,1.1195010747850946,27.83667777978531,31.163190692916018,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,1,aggressive,1,0.0,50.8325,50.87666666666667,0.04416666666666913,25.853658536585368,205,152,1.0025762275215675,1.0024462649887778,30.7202447464787,30.795394605648692,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,1,permissive,2,0.1,50.8325,50.87416666666667,0.0416666666666643,25.0,200,150,1.0025423297910205,1.0024112039014197,30.7202447464787,30.794317520463974,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,1,moderate,8,0.2,50.8325,50.87166666666667,0.03916666666666657,25.0,188,141,1.0023897900035592,1.0022665316673345,30.7202447464787,30.789873154024857,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,1,conservative,8,0.3,50.8325,50.87166666666667,0.03916666666666657,25.405405405405407,185,138,1.0023389434077388,1.0022195554615942,30.7202447464787,30.78843003348726,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,1,strict,20,0.4,50.8325,50.834999999999994,0.002499999999990621,33.33333333333333,9,6,1.0001016931916409,1.000097696028345,30.7202447464787,30.723245992380214,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
