layer,routing,interval,hit_rate_pct
Layer 15,top-1,100,60.94171971450617
Layer 15,top-1,200,59.79986496913581
Layer 15,top-1,500,57.88941936728394
Layer 15,top-1,1000,56.45097897376543
Layer 15,top-1,2000,55.99693769290124
Layer 15,top-1,5000,56.016227816358025
Layer 15,top-1,10000,56.48943865740741
Layer 15,top-1,20000,56.71356577932099
Layer 15,top-2,100,58.52352189429012
Layer 15,top-2,200,57.61103877314815
Layer 15,top-2,500,56.05746045524691
Layer 15,top-2,1000,55.10880835262346
Layer 15,top-2,2000,54.54421055169754
Layer 15,top-2,5000,54.531852816358025
Layer 15,top-2,10000,54.72614052854938
Layer 15,top-2,20000,54.993369020061735
Layer 31,top-1,100,67.40318769290124
Layer 31,top-1,200,67.11335358796296
Layer 31,top-1,500,66.39901620370371
Layer 31,top-1,1000,66.01622781635803
Layer 31,top-1,2000,65.84442515432099
Layer 31,top-1,5000,65.68660783179013
Layer 31,top-1,10000,65.28669945987654
Layer 31,top-1,20000,65.43872974537037
Layer 31,top-2,100,58.56734664351851
Layer 31,top-2,200,57.64931761188271
Layer 31,top-2,500,56.33734809027777
Layer 31,top-2,1000,55.50088011188271
Layer 31,top-2,2000,55.16480999228395
Layer 31,top-2,5000,55.14949845679013
Layer 31,top-2,10000,55.24787808641975
Layer 31,top-2,20000,55.61680169753086
