layer,expert,first_choice_share_pct,second_choice_share_pct
Layer 15,0,11.173683449074074,11.314501350308642
Layer 15,1,11.745153356481481,15.827546296296296
Layer 15,2,14.734037422839505,12.766444830246915
Layer 15,3,6.78783275462963,7.740403163580247
Layer 15,4,12.781876929012345,13.805097415123457
Layer 15,5,13.089795524691358,14.21923225308642
Layer 15,6,14.949966242283953,13.71190200617284
Layer 15,7,14.737654320987653,10.614872685185185
Layer 31,0,15.287302276234568,7.525679976851851
Layer 31,1,18.131510416666664,6.527416087962963
Layer 31,2,14.090470679012345,6.047694830246914
Layer 31,3,14.19945987654321,19.126639660493826
Layer 31,4,6.5130690586419755,13.544077932098766
Layer 31,5,6.725139853395063,18.80172164351852
Layer 31,6,18.139588155864196,10.164207175925926
Layer 31,7,6.913459683641976,18.262562692901234
