layer,routing,strategy,hit_rate_pct,avg_time_ns,note
Layer 15,top-1,Static (oracle),57.5190254991105,2591963.291212127,
Layer 15,top-1,Static (profiled on first 20k),57.1577881004151,2610258.8374845074,
Layer 15,top-1,LRU,64.92921031824471,2216660.5685976166,
Layer 15,top-1,Periodic (every 100),60.91507709033406,2419963.882360735,interval=100
Layer 15,top-2,Static (oracle),55.522151116821505,2693098.7433918887,
Layer 15,top-2,Static (profiled on first 20k),54.98270409171773,2720420.050778465,
Layer 15,top-2,LRU,59.51793832773276,2490724.5980790006,
Layer 15,top-2,Periodic (every 100),58.486731567503455,2542952.0005310196,interval=100
Layer 31,top-1,Static (oracle),65.75064241945049,2175057.5975976535,
Layer 31,top-1,Static (profiled on first 20k),65.63624234038348,2180851.604385692,
Layer 31,top-1,LRU,65.89839889306187,2167574.193594663,
Layer 31,top-1,Periodic (every 100),67.35187289978256,2093960.2736454222,interval=100
Layer 31,top-2,Static (oracle),56.215408183435464,2657987.437677982,
Layer 31,top-2,Static (profiled on first 20k),55.920636489424794,2672916.7035486726,
Layer 31,top-2,LRU,56.256485965605854,2655906.976258608,
Layer 31,top-2,Periodic (every 100),58.467829610594976,2543909.3256266676,interval=100
