regime,num_experts,top_k,routed_fraction_pct,budget_fraction,experts_in_hbm,hbm_gb_per_layer,cxl_offload_gb_all_layers,static_hit_rate_pct,lru_hit_rate_pct,tokens_fully_resident_pct
fixed-k (top-2),8,2,25.0,0.125,1,0.352321536,78.920024064,20.08125,5.84625,0.0
fixed-k (top-2),8,2,25.0,0.25,2,0.704643072,67.645734912,34.510000000000005,27.108749999999997,7.495
fixed-k (top-2),8,2,25.0,0.5,4,1.409286144,45.097156608,62.02875,53.4925,35.247499999999995
fixed-k (top-2),16,2,12.5,0.125,2,0.352321536,78.920024064,19.13375,19.71375,2.0075
fixed-k (top-2),16,2,12.5,0.25,4,0.704643072,67.645734912,35.91125,32.496249999999996,10.8025
fixed-k (top-2),16,2,12.5,0.5,8,1.409286144,45.097156608,61.573750000000004,56.82874999999999,36.485
fixed-k (top-2),32,2,6.25,0.125,4,0.352321536,78.920024064,23.265,23.416249999999998,4.2725
fixed-k (top-2),32,2,6.25,0.25,8,0.704643072,67.645734912,42.371249999999996,36.3625,16.865
fixed-k (top-2),32,2,6.25,0.5,16,1.409286144,45.097156608,66.8375,61.03125,44.09
fixed-k (top-2),64,2,3.125,0.125,8,0.352321536,78.920024064,21.1625,24.46125,4.04
fixed-k (top-2),64,2,3.125,0.25,16,0.704643072,67.645734912,37.335,36.9125,13.5325
fixed-k (top-2),64,2,3.125,0.5,32,1.409286144,45.097156608,65.16875,60.49250000000001,42.2025
fixed-k (top-2),128,2,1.5625,0.125,16,0.352321536,78.920024064,22.98875,25.31,5.025
fixed-k (top-2),128,2,1.5625,0.25,32,0.704643072,67.645734912,39.725,37.5825,15.6275
fixed-k (top-2),128,2,1.5625,0.5,64,1.409286144,45.097156608,66.19,60.98875,43.7425
fixed-k (top-2),256,2,0.78125,0.125,32,0.352321536,78.920024064,21.881249999999998,25.63375,4.63
fixed-k (top-2),256,2,0.78125,0.25,64,0.704643072,67.645734912,38.555,37.816250000000004,14.662500000000001
fixed-k (top-2),256,2,0.78125,0.5,128,1.409286144,45.097156608,66.18375,61.17875,43.5525
scaled-k (N/32),8,2,25.0,0.125,1,0.352321536,78.920024064,20.08125,5.84625,0.0
scaled-k (N/32),8,2,25.0,0.25,2,0.704643072,67.645734912,34.510000000000005,27.108749999999997,7.495
scaled-k (N/32),8,2,25.0,0.5,4,1.409286144,45.097156608,62.02875,53.4925,35.247499999999995
scaled-k (N/32),16,2,12.5,0.125,2,0.352321536,78.920024064,19.13375,19.71375,2.0075
scaled-k (N/32),16,2,12.5,0.25,4,0.704643072,67.645734912,35.91125,32.496249999999996,10.8025
scaled-k (N/32),16,2,12.5,0.5,8,1.409286144,45.097156608,61.573750000000004,56.82874999999999,36.485
scaled-k (N/32),32,2,6.25,0.125,4,0.352321536,78.920024064,23.265,23.416249999999998,4.2725
scaled-k (N/32),32,2,6.25,0.25,8,0.704643072,67.645734912,42.371249999999996,36.3625,16.865
scaled-k (N/32),32,2,6.25,0.5,16,1.409286144,45.097156608,66.8375,61.03125,44.09
scaled-k (N/32),64,2,3.125,0.125,8,0.352321536,78.920024064,21.1625,24.46125,4.04
scaled-k (N/32),64,2,3.125,0.25,16,0.704643072,67.645734912,37.335,36.9125,13.5325
scaled-k (N/32),64,2,3.125,0.5,32,1.409286144,45.097156608,65.16875,60.49250000000001,42.2025
scaled-k (N/32),128,4,3.125,0.125,16,0.352321536,78.920024064,22.99875,18.97375,0.1975
scaled-k (N/32),128,4,3.125,0.25,32,0.704643072,67.645734912,39.470625,32.566875,2.175
scaled-k (N/32),128,4,3.125,0.5,64,1.409286144,45.097156608,66.084375,57.941874999999996,18.615000000000002
scaled-k (N/32),256,8,3.125,0.125,32,0.352321536,78.920024064,21.7546875,15.8271875,0.0
scaled-k (N/32),256,8,3.125,0.25,64,0.704643072,67.645734912,38.2503125,29.684687500000003,0.03
scaled-k (N/32),256,8,3.125,0.5,128,1.409286144,45.097156608,65.5709375,56.06218750000001,3.3175000000000003
